StartTime,EndTime,HeatDemand,ElectricityPrice,Boilers,NetProductionCost
09/02/2023 03.00.00,09/02/2023 04.00.00,"7,7","577,66","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","40,318"
09/02/2023 03.00.00,09/02/2023 04.00.00,"7,7","577,66","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,82, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","40,318"
09/02/2023 04.00.00,09/02/2023 05.00.00,"8,16","583,16","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","25,468"
09/02/2023 04.00.00,09/02/2023 05.00.00,"8,16","583,16","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,912, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","25,468"
09/02/2023 05.00.00,09/02/2023 06.00.00,"8,45","617,99","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-68,573"
09/02/2023 05.00.00,09/02/2023 06.00.00,"8,45","617,99","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,97, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-68,573"
09/02/2023 06.00.00,09/02/2023 07.00.00,"8,51","629,23","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-98,921"
09/02/2023 06.00.00,09/02/2023 07.00.00,"8,51","629,23","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,982, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-98,921"
09/02/2023 07.00.00,09/02/2023 08.00.00,"7,79","689,06","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-260,462"
09/02/2023 07.00.00,09/02/2023 08.00.00,"7,79","689,06","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,838, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-260,462"
