StartTime,EndTime,HeatDemand,ElectricityPrice,Boilers,NetProductionCost
09/02/2023 03.00.00,09/02/2023 04.00.00,"7,7","577,66",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"40,318"
09/02/2023 04.00.00,09/02/2023 05.00.00,"8,16","583,16",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"25,468"
09/02/2023 05.00.00,09/02/2023 06.00.00,"8,45","617,99",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-68,573"
09/02/2023 06.00.00,09/02/2023 07.00.00,"8,51","629,23",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-98,921"
09/02/2023 07.00.00,09/02/2023 08.00.00,"7,79","689,06",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-260,462"
09/02/2023 08.00.00,09/02/2023 09.00.00,"7,64","769,66",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-478,082"
09/02/2023 09.00.00,09/02/2023 10.00.00,"7,71","802,85",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-567,695"
09/02/2023 10.00.00,09/02/2023 11.00.00,"7,64","781,42",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-509,834"
09/02/2023 11.00.00,09/02/2023 12.00.00,"6,99","716,9",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-335,63"
09/02/2023 12.00.00,09/02/2023 13.00.00,"6,39","692,56",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-269,912"
09/02/2023 13.00.00,09/02/2023 14.00.00,"6,22","678,35",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-231,545"
09/02/2023 14.00.00,09/02/2023 15.00.00,"6,28","647,02",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-146,954"
09/02/2023 15.00.00,09/02/2023 16.00.00,"6,78","645,53",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-142,931"
09/02/2023 16.00.00,09/02/2023 17.00.00,"7,01","650,07",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-155,189"
09/02/2023 17.00.00,09/02/2023 18.00.00,"7,18","647,16",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-147,332"
09/02/2023 18.00.00,09/02/2023 19.00.00,"6,65","649,7",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-154,19"
09/02/2023 19.00.00,09/02/2023 20.00.00,"6,72","638,53",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-124,031"
09/02/2023 20.00.00,09/02/2023 21.00.00,"6,86","625,29",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-88,283"
09/02/2023 21.00.00,09/02/2023 22.00.00,"6,83","621,34",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-77,618"
09/02/2023 22.00.00,09/02/2023 23.00.00,"6,86","624,62",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-86,474"
09/02/2023 23.00.00,10/02/2023 00.00.00,"6,78","620,15",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-74,405"
10/02/2023 00.00.00,10/02/2023 01.00.00,"6,8","580,99",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"31,327"
10/02/2023 01.00.00,10/02/2023 02.00.00,"6,8","592,3",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"0,79"
10/02/2023 02.00.00,10/02/2023 03.00.00,"6,82","622,22",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-79,994"
10/02/2023 03.00.00,10/02/2023 04.00.00,"6,95","634,79",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-113,933"
10/02/2023 04.00.00,10/02/2023 05.00.00,"7,73","659,87",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-181,649"
10/02/2023 05.00.00,10/02/2023 06.00.00,"7,9","706,76",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-308,252"
10/02/2023 06.00.00,10/02/2023 07.00.00,"8,11","795,76",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-548,552"
10/02/2023 07.00.00,10/02/2023 08.00.00,"7,62","1235,88",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1736,876"
10/02/2023 08.00.00,10/02/2023 09.00.00,"7,64","1310,52",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1938,404"
10/02/2023 09.00.00,10/02/2023 10.00.00,"7,44","1072,23",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1295,021"
10/02/2023 10.00.00,10/02/2023 11.00.00,"7,26","847,86",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-689,222"
10/02/2023 11.00.00,10/02/2023 12.00.00,"7,03","740,32",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-398,864"
10/02/2023 12.00.00,10/02/2023 13.00.00,"6,77","706,46",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-307,442"
10/02/2023 13.00.00,10/02/2023 14.00.00,"6,72","671,18",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-212,186"
10/02/2023 14.00.00,10/02/2023 15.00.00,"6,9","615,67",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-62,309"
10/02/2023 15.00.00,10/02/2023 16.00.00,"7,34","608,6",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-43,22"
10/02/2023 16.00.00,10/02/2023 17.00.00,"7,48","597,21",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-12,467"
10/02/2023 17.00.00,10/02/2023 18.00.00,"7,45","603,39",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-29,153"
10/02/2023 18.00.00,10/02/2023 19.00.00,"6,92","593,12",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1,424"
10/02/2023 19.00.00,10/02/2023 20.00.00,"6,82","578,01",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"39,373"
10/02/2023 20.00.00,10/02/2023 21.00.00,"6,78","544,08",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"130,984"
10/02/2023 21.00.00,10/02/2023 22.00.00,"6,68","527,93",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"174,589"
10/02/2023 22.00.00,10/02/2023 23.00.00,"6,56","499,2",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"252,16"
10/02/2023 23.00.00,11/02/2023 00.00.00,"6,46","334,89",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"695,797"
11/02/2023 00.00.00,11/02/2023 01.00.00,"6,35","557,82",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"93,886"
11/02/2023 01.00.00,11/02/2023 02.00.00,"6,31","577,84",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"39,832"
11/02/2023 02.00.00,11/02/2023 03.00.00,"6,37","576,8",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"42,64"
11/02/2023 03.00.00,11/02/2023 04.00.00,"6,43","573,45",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"51,685"
11/02/2023 04.00.00,11/02/2023 05.00.00,"7,04","576,58",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"43,234"
11/02/2023 05.00.00,11/02/2023 06.00.00,"6,96","566,53",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"70,369"
11/02/2023 06.00.00,11/02/2023 07.00.00,"6,96","580,97",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"31,381"
11/02/2023 07.00.00,11/02/2023 08.00.00,"6,61","587,59",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"13,507"
11/02/2023 08.00.00,11/02/2023 09.00.00,"6,82","595,41",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-7,607"
11/02/2023 09.00.00,11/02/2023 10.00.00,"6,89","607,17",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-39,359"
11/02/2023 10.00.00,11/02/2023 11.00.00,"6,69","612,83",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-54,641"
11/02/2023 11.00.00,11/02/2023 12.00.00,"6,62","607,17",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-39,359"
11/02/2023 12.00.00,11/02/2023 13.00.00,"6,5","600,03",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-20,081"
11/02/2023 13.00.00,11/02/2023 14.00.00,"6,4","603,9",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-30,53"
11/02/2023 14.00.00,11/02/2023 15.00.00,"6,58","609,7",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-46,19"
11/02/2023 15.00.00,11/02/2023 16.00.00,"6,2","599,21",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-17,867"
11/02/2023 16.00.00,11/02/2023 17.00.00,"6,29","660,25",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-182,675"
11/02/2023 17.00.00,11/02/2023 18.00.00,"6,07","744,23",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-409,421"
11/02/2023 18.00.00,11/02/2023 19.00.00,"6,27","832,82",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-648,614"
11/02/2023 19.00.00,11/02/2023 20.00.00,"6,3","809,51",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-585,677"
11/02/2023 20.00.00,11/02/2023 21.00.00,"6,25","743,26",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-406,802"
11/02/2023 21.00.00,11/02/2023 22.00.00,"6,16","731,05",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-373,835"
11/02/2023 22.00.00,11/02/2023 23.00.00,"6,23","703,51",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-299,477"
11/02/2023 23.00.00,12/02/2023 00.00.00,"6,09","706,04",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-306,308"
12/02/2023 00.00.00,12/02/2023 01.00.00,"6,05","965,7",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1007,39"
12/02/2023 01.00.00,12/02/2023 02.00.00,"6,05","934,21",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-922,367"
12/02/2023 02.00.00,12/02/2023 03.00.00,"6,06","981,11",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1048,997"
12/02/2023 03.00.00,12/02/2023 04.00.00,"6,24","949,69",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-964,163"
12/02/2023 04.00.00,12/02/2023 05.00.00,"6,75","881,88",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-781,076"
12/02/2023 05.00.00,12/02/2023 06.00.00,"6,74","885,08",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-789,716"
12/02/2023 06.00.00,12/02/2023 07.00.00,"6,72","804,15",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-571,205"
12/02/2023 07.00.00,12/02/2023 08.00.00,"6,27","864,83",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-735,041"
12/02/2023 08.00.00,12/02/2023 09.00.00,"6,51","1056,9",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1253,63"
12/02/2023 09.00.00,12/02/2023 10.00.00,"6,71","1004,78",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1112,906"
12/02/2023 10.00.00,12/02/2023 11.00.00,"6,59","1002,18",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1105,886"
12/02/2023 11.00.00,12/02/2023 12.00.00,"6,41","900,34",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-830,918"
12/02/2023 12.00.00,12/02/2023 13.00.00,"6,28","790,61",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-534,647"
12/02/2023 13.00.00,12/02/2023 14.00.00,"6,26","756,88",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-443,576"
12/02/2023 14.00.00,12/02/2023 15.00.00,"6,53","740,73",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-399,971"
12/02/2023 15.00.00,12/02/2023 16.00.00,"6,48","733,8",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-381,26"
12/02/2023 16.00.00,12/02/2023 17.00.00,"6,45","877,86",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-770,222"
12/02/2023 17.00.00,12/02/2023 18.00.00,"6,14","1123,45",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1433,315"
12/02/2023 18.00.00,12/02/2023 19.00.00,"6,3","1247,03",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1766,981"
12/02/2023 19.00.00,12/02/2023 20.00.00,"6,17","1002,63",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1107,101"
12/02/2023 20.00.00,12/02/2023 21.00.00,"6,1","1002,33",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1106,291"
12/02/2023 21.00.00,12/02/2023 22.00.00,"6,09","797,16",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-552,332"
12/02/2023 22.00.00,12/02/2023 23.00.00,"6,09","767,38",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-471,926"
12/02/2023 23.00.00,13/02/2023 00.00.00,"6,03","734,85",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-384,095"
13/02/2023 00.00.00,13/02/2023 01.00.00,"6,08","773,11",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-487,397"
13/02/2023 01.00.00,13/02/2023 02.00.00,"6,18","753,01",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-433,127"
13/02/2023 02.00.00,13/02/2023 03.00.00,"6,26","751,67",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-429,509"
13/02/2023 03.00.00,13/02/2023 04.00.00,"6,39","766,93",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-470,711"
13/02/2023 04.00.00,13/02/2023 05.00.00,"6,96","773,33",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-487,991"
13/02/2023 05.00.00,13/02/2023 06.00.00,"7,09","818,15",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-609,005"
13/02/2023 06.00.00,13/02/2023 07.00.00,"7,34","1170,72",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1560,944"
13/02/2023 07.00.00,13/02/2023 08.00.00,"6,84","1459,72",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-2341,244"
13/02/2023 08.00.00,13/02/2023 09.00.00,"6,94","1505,28",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-2464,256"
13/02/2023 09.00.00,13/02/2023 10.00.00,"6,86","1460,61",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-2343,647"
13/02/2023 10.00.00,13/02/2023 11.00.00,"6,73","1290,5",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1884,35"
13/02/2023 11.00.00,13/02/2023 12.00.00,"6,46","1049,67",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1234,109"
13/02/2023 12.00.00,13/02/2023 13.00.00,"6,21","916,42",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-874,334"
13/02/2023 13.00.00,13/02/2023 14.00.00,"6,26","893,34",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-812,018"
13/02/2023 14.00.00,13/02/2023 15.00.00,"6,34","893,34",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-812,018"
13/02/2023 15.00.00,13/02/2023 16.00.00,"6,66","900,78",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-832,106"
13/02/2023 16.00.00,13/02/2023 17.00.00,"6,71","1118,39",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1419,653"
13/02/2023 17.00.00,13/02/2023 18.00.00,"6,81","1400,01",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-2180,027"
13/02/2023 18.00.00,13/02/2023 19.00.00,"6,47","1651,19",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-2858,213"
13/02/2023 19.00.00,13/02/2023 20.00.00,"6,26","1538,03",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-2552,681"
13/02/2023 20.00.00,13/02/2023 21.00.00,"6,2","1398,52",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-2176,004"
13/02/2023 21.00.00,13/02/2023 22.00.00,"6,22","1257,52",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1795,304"
13/02/2023 22.00.00,13/02/2023 23.00.00,"6,15","1198,34",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1635,518"
13/02/2023 23.00.00,14/02/2023 00.00.00,"6,19","1117,57",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1417,439"
14/02/2023 00.00.00,14/02/2023 01.00.00,"6,15","1010,17",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1127,459"
14/02/2023 01.00.00,14/02/2023 02.00.00,"6,33","985,59",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1061,093"
14/02/2023 02.00.00,14/02/2023 03.00.00,"6,32","984,39",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1057,853"
14/02/2023 03.00.00,14/02/2023 04.00.00,"6,38","984,1",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1057,07"
14/02/2023 04.00.00,14/02/2023 05.00.00,"7,02","985,59",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1061,093"
14/02/2023 05.00.00,14/02/2023 06.00.00,"7,21","1057,17",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1254,359"
14/02/2023 06.00.00,14/02/2023 07.00.00,"7,4","1238,09",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1742,843"
14/02/2023 07.00.00,14/02/2023 08.00.00,"6,92","1489,63",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-2422,001"
14/02/2023 08.00.00,14/02/2023 09.00.00,"7,06","1541,69",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-2562,563"
14/02/2023 09.00.00,14/02/2023 10.00.00,"7,02","1345,2",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-2032,04"
14/02/2023 10.00.00,14/02/2023 11.00.00,"7,12","1029,83",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1180,541"
14/02/2023 11.00.00,14/02/2023 12.00.00,"7,08","1036,53",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1198,631"
14/02/2023 12.00.00,14/02/2023 13.00.00,"7,08","970,99",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1021,673"
14/02/2023 13.00.00,14/02/2023 14.00.00,7,"934,12",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-922,124"
14/02/2023 14.00.00,14/02/2023 15.00.00,"6,64","945,44",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-952,688"
14/02/2023 15.00.00,14/02/2023 16.00.00,"7,09","985,59",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1061,093"
14/02/2023 16.00.00,14/02/2023 17.00.00,"7,07","1137,39",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1470,953"
14/02/2023 17.00.00,14/02/2023 18.00.00,"7,03","1346,76",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-2036,252"
14/02/2023 18.00.00,14/02/2023 19.00.00,"6,53","1489,63",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-2422,001"
14/02/2023 19.00.00,14/02/2023 20.00.00,"6,38","1437,34",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-2280,818"
14/02/2023 20.00.00,14/02/2023 21.00.00,"6,51","1309,52",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1935,704"
14/02/2023 21.00.00,14/02/2023 22.00.00,"6,34","1192,43",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1619,561"
14/02/2023 22.00.00,14/02/2023 23.00.00,"6,41","1124,95",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1437,365"
14/02/2023 23.00.00,15/02/2023 00.00.00,"6,35","1055,68",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1250,336"
